triphone	desired number	missing number
step: 0
C0n-C0ian+sp      	1187	928 
C0i-C0j+C0iou     	1025	828 
C0er-C0l+C0ing    	764 	746 
C0l-C0ing+C0i     	490 	443 
C0iou-C0n+C0ian   	491 	437 
C0l-C0ing+C0l     	456 	410 
C0i-C0n+C0ian     	540 	401 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	361 
sil-C0er+C0l      	345 	338 

step: 1
C0n-C0ian+sp      	1187	928 
C0i-C0j+C0iou     	1025	828 
C0er-C0l+C0ing    	764 	746 
C0l-C0ing+C0i     	490 	443 
C0iou-C0n+C0ian   	491 	437 
C0l-C0ing+C0l     	456 	410 
C0i-C0n+C0ian     	540 	401 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	361 
sil-C0er+C0l      	345 	338 

step: 2
C0n-C0ian+sp      	1187	928 
C0i-C0j+C0iou     	1025	827 
C0er-C0l+C0ing    	764 	745 
C0l-C0ing+C0i     	490 	442 
C0iou-C0n+C0ian   	491 	437 
C0l-C0ing+C0l     	456 	410 
C0i-C0n+C0ian     	540 	401 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	361 
sil-C0er+C0l      	345 	338 

step: 3
C0n-C0ian+sp      	1187	928 
C0i-C0j+C0iou     	1025	827 
C0er-C0l+C0ing    	764 	744 
C0l-C0ing+C0i     	490 	441 
C0iou-C0n+C0ian   	491 	437 
C0l-C0ing+C0l     	456 	410 
C0i-C0n+C0ian     	540 	401 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	361 
sil-C0er+C0l      	345 	338 

step: 4
C0n-C0ian+sp      	1187	928 
C0i-C0j+C0iou     	1025	827 
C0er-C0l+C0ing    	764 	743 
C0l-C0ing+C0i     	490 	440 
C0iou-C0n+C0ian   	491 	437 
C0l-C0ing+C0l     	456 	410 
C0i-C0n+C0ian     	540 	401 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	361 
sil-C0er+C0l      	345 	338 

step: 5
C0n-C0ian+sp      	1187	928 
C0i-C0j+C0iou     	1025	827 
C0er-C0l+C0ing    	764 	742 
C0l-C0ing+C0i     	490 	439 
C0iou-C0n+C0ian   	491 	437 
C0l-C0ing+C0l     	456 	410 
C0i-C0n+C0ian     	540 	401 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	361 
sil-C0er+C0l      	345 	338 

step: 6
C0n-C0ian+sp      	1187	928 
C0i-C0j+C0iou     	1025	827 
C0er-C0l+C0ing    	764 	741 
C0l-C0ing+C0i     	490 	439 
C0iou-C0n+C0ian   	491 	437 
C0l-C0ing+C0l     	456 	409 
C0i-C0n+C0ian     	540 	401 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	360 
sil-C0er+C0l      	345 	338 

step: 7
C0n-C0ian+sp      	1187	928 
C0i-C0j+C0iou     	1025	827 
C0er-C0l+C0ing    	764 	740 
C0l-C0ing+C0i     	490 	439 
C0iou-C0n+C0ian   	491 	436 
C0l-C0ing+C0l     	456 	408 
C0i-C0n+C0ian     	540 	401 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	359 
sil-C0er+C0l      	345 	338 

step: 8
C0n-C0ian+sp      	1187	927 
C0i-C0j+C0iou     	1025	827 
C0er-C0l+C0ing    	764 	739 
C0l-C0ing+C0i     	490 	438 
C0iou-C0n+C0ian   	491 	436 
C0l-C0ing+C0l     	456 	408 
C0i-C0n+C0ian     	540 	401 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	359 
sil-C0er+C0l      	345 	338 

step: 9
C0n-C0ian+sp      	1187	927 
C0i-C0j+C0iou     	1025	827 
C0er-C0l+C0ing    	764 	738 
