name,type,value,date
C0n-C0ian+sp,C0ian,928,2019-01-02
C0i-C0j+C0iou,C0j,828,2019-01-02
C0er-C0l+C0ing,C0l,746,2019-01-02
C0l-C0ing+C0i,C0ing,443,2019-01-02
C0iou-C0n+C0ian,C0n,437,2019-01-02
C0l-C0ing+C0l,C0ing,410,2019-01-02
C0i-C0n+C0ian,C0n,401,2019-01-02
sil-C0i+C0j,C0i,390,2019-01-02
C0ing-C0l+C0ing,C0l,361,2019-01-02
sil-C0er+C0l,C0er,338,2019-01-02
C0n-C0ian+sp,C0ian,924,2019-01-03
C0i-C0j+C0iou,C0j,822,2019-01-03
C0er-C0l+C0ing,C0l,733,2019-01-03
C0iou-C0n+C0ian,C0n,435,2019-01-03
C0l-C0ing+C0i,C0ing,435,2019-01-03
C0l-C0ing+C0l,C0ing,404,2019-01-03
C0i-C0n+C0ian,C0n,399,2019-01-03
sil-C0i+C0j,C0i,390,2019-01-03
C0ing-C0l+C0ing,C0l,356,2019-01-03
sil-C0er+C0l,C0er,338,2019-01-03
C0n-C0ian+sp,C0ian,921,2019-01-04
C0i-C0j+C0iou,C0j,810,2019-01-04
C0er-C0l+C0ing,C0l,718,2019-01-04
C0iou-C0n+C0ian,C0n,428,2019-01-04
C0l-C0ing+C0i,C0ing,428,2019-01-04
C0l-C0ing+C0l,C0ing,392,2019-01-04
C0i-C0n+C0ian,C0n,390,2019-01-04
sil-C0i+C0j,C0i,387,2019-01-04
C0ing-C0l+C0ing,C0l,347,2019-01-04
sil-C0er+C0l,C0er,338,2019-01-04
C0n-C0ian+sp,C0ian,907,2019-01-05
C0i-C0j+C0iou,C0j,788,2019-01-05
C0er-C0l+C0ing,C0l,701,2019-01-05
C0iou-C0n+C0ian,C0n,423,2019-01-05
C0l-C0ing+C0i,C0ing,419,2019-01-05
C0i-C0n+C0ian,C0n,385,2019-01-05
sil-C0i+C0j,C0i,384,2019-01-05
C0l-C0ing+C0l,C0ing,381,2019-01-05
C0ing-C0l+C0ing,C0l,337,2019-01-05
sil-C0er+C0l,C0er,336,2019-01-05
C0n-C0ian+sp,C0ian,905,2019-01-06
C0i-C0j+C0iou,C0j,779,2019-01-06
C0er-C0l+C0ing,C0l,690,2019-01-06
C0iou-C0n+C0ian,C0n,420,2019-01-06
C0l-C0ing+C0i,C0ing,414,2019-01-06
sil-C0i+C0j,C0i,382,2019-01-06
C0i-C0n+C0ian,C0n,378,2019-01-06
C0l-C0ing+C0l,C0ing,371,2019-01-06
sil-C0er+C0l,C0er,335,2019-01-06
C0ing-C0l+C0ing,C0l,328,2019-01-06
